CourseID,Subject,Number,Name,Description,Credit Hours,Degree Attributes
ACCY321,ACCY,321,Principles of Public Policy,"Same as ACE 321, BADM 303, and PS 321. See PS 321.",3 hours.,
ACCY398,ACCY,398,Practical Problems in Atg,"Course covers the professional standards relating to corporate financial reporting, taxation, auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms, if topics vary. Credit is not given towards degree requirements. Prerequisite: Consent of the Department. Intended for students enrolled in the BS in Accountancy, Certificate in Accountancy, MAS, and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level), cost/managerial accounting (beyond introductory level), auditing, and taxation.",0 TO 16 hours.,
ACCY405,ACCY,405,Assurance and Attestation,"Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACCY 304 or consent of department.",3 hours.,
ACCY410,ACCY,410,Advanced Financial Reporting,"Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues.  3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACCY 303 or consent of department.",3 OR 4 hours.,
ACCY415,ACCY,415,Auditing Stds and Practice,"Framework for understanding and evaluating the professional auditing standards for assurance services. Model of financial reporting provides an overview of the types of information disseminated by companies to external users, and provides the basis for identifying professional standards areas for future standards' development. 3 undergraduate hours. No graduate credit. Credit is not given for both ACCY 415 and ACCY 515. Prerequisite: ACCY 304 or consent of department.",3 hours.,
ACCY451,ACCY,451,Advanced Income Tax Problems,"Introduction to the U.S. federal income taxation of corporations, their shareholders and owners, as well as entities receiving flow-through treatment under U.S. federal tax law e.g., Subchapter S corporations, partnerships and limited liability companies). 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Senior standing and ACCY 312.",3 OR 4 hours.,
ACCY499,ACCY,499,Senior Research,"Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Cumulative grade-point average of 3.0., honors in the junior year, or consent of department; senior standing.",2 TO 4 hours.,
ACCY500,ACCY,500,"Accounting Measurement, Reporting, and Control","A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. 2 or 4 graduate hours. No professional credit. Prerequisite: Enrollment in a non-accountancy masters program in business or consent of department.",2 OR 4 hours.,
ACCY501,ACCY,501,Accounting Analysis I,"Uses of accounting information; collection, processing, and communication of accounting information; measurement of assets, liabilities, equities, and income; and accounting system design. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate degree program or consent of department.",2 OR 4 hours.,
ACCY502,ACCY,502,Accounting Analysis II,"In-depth study of accounting valuation processes, accounting income measurement, and special reporting problems of multiple-entity organizations. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.",2 OR 4 hours.,
ACCY504,ACCY,504,Auditing,"Introduction to conceptual and applied material in the field of auditing. Emphasizes the audit process, reporting, and professional responsibilities. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Credit or concurrent registration in ACCY 502, or equivalent; enrollment in graduate degree program or consent of department.",2 OR 4 hours.,
ACCY505,ACCY,505,Federal Taxation,Introduction to historical and conceptual as well as applied material in the accounting area of federal taxation; emphasizes the provisions of the tax law relevant to accounting measurement methods. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 505 and ACCY 312. Prerequisite: Enrollment in graduate degree program or consent of department.,2 OR 4 hours.,
ACCY506,ACCY,506,Advanced Topics in Accounting,"Financial accounting principles related to entities other than the ""single"" corporate entity. These other organizational forms include the consolidated corporate entity and the partnership entity. Topics include consolidated financial statements, intra-entity asset transactions, segment and interim reporting, foreign currency transactions and hedging foreign exchange risk, translating foreign currency financial statements, formation and operation of partnerships, and the development of worldwide financial reporting standards. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 410 and ACCY 506. Prerequisite: ACCY 501, and credit or concurrent enrollment in ACCY 502.",2 OR 4 hours.,
ACCY510,ACCY,510,Financial Reporting Standards,"Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. 4 graduate hours. No professional credit. Prerequisite: ACCY 410 and enrollment in the BS/MAS in Accountancy program or consent of department.",4 hours.,
ACCY512,ACCY,512,Data Analytics for Management Accounting,"Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of department.",4 hours.,
ACCY515,ACCY,515,Auditing &amp; Assurance Standards,"Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion and research projects emphasize the importance of independent thinking, group processes, and communication for professional accounting practice.  Prerequisite: ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department.",4 hours.,
ACCY517,ACCY,517,Financial Statement Analysis,Examines tools and techniques of financial statement analysis from the perspective of investors and creditors; emphasizes theoretical and empirical properties of financial ratios. 4 graduate hours. No professional credit. Prerequisite: ACCY 410 or concurrent enrollment; or ACCY 500 or equivalent; or ACCY 502 or equivalent; and enrollment in graduate degree program or consent of department.,4 hours.,
ACCY518,ACCY,518,Financial Statement Fraud,"Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of the department. This class is restricted to MAS and MSA students: Accountancy-UIUC.",4 hours.,
ACCY551,ACCY,551,Corporate Income Taxation,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. 4 graduate hours. No professional credit. Prerequisite: ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.",4 hours.,
ACCY556,ACCY,556,Tax Research,"Provides the student with a working knowledge of tax research methodology utilized by accountants in public practice. Aims to develop the student's capacity for either solving or defending his/her position with respect to a particular tax issue. 1 to 4 graduate hours. No professional credit. May be repeated with consent of the department. Prerequisite: Credit or concurrent enrollment in ACCY 451, or equivalent or consent of department.",1 TO 4 hours.,
ACCY569,ACCY,569,Data Driven Decisions in Accounting,"This course prepares accounting students to use analytic software to explore, visualize, and statistically analyze accounting data. 2 graduate hours. No professional credit.",2 hours.,
ACCY570,ACCY,570,Data Analytics Foundations for Accountancy,"Concepts and foundations underlying data analytics for accountancy. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze large volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use common computer-based tools to perform data analysis. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate accounting program or consent of the department.",2 or 4 hours.,
ACCY592,ACCY,592,Introduction to Accounting Research,"Comparative study of alternative methodologies and conceptual frameworks and their application to selected current research issues central to the development of accounting thought, both theoretical and empirical. 4 graduate hours. No professional credit. Prerequisite: Courses in behavioral science, mathematics, and economics; or equivalent background and admission to the accountancy Ph.D. program; or consent of department.",4 hours.,
ACCY593,ACCY,593,Special Research Problems,"Individual investigations or research projects selected by the students, subject to approval by the graduate adviser and the executive officer of the Department. May be repeated in the same or separate terms. Prerequisite: Enrollment in graduate accounting degree program or consent of department.",1 TO 8 hours.,
ACCY599,ACCY,599,Thesis Research,Individual direction and guidance in writing theses; seminar discussion of progress made. Approved for S/U grading only. May be repeated.,0 TO 16 hours.,
ACE100,ACE,100,Agr Cons and Resource Econ,"Principles of microeconomics; demand, production, supply, elasticity, markets, and trade are presented and used in the analysis of decisions of individuals relating to agricultural production, food and textile consumption, and natural resource use. Macroeconomic concepts are also introduced. Credit is not given for ACE 100 if credit for ECON 102 has been earned.",4 hours.,Social & Beh Sci - Soc Sci course.
ACE161,ACE,161,Microcomputer Applications,Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.,3 hours.,
ACE199,ACE,199,Undergraduate Open Seminar,"Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code. Approved for Letter and S/U grading. May be repeated if topics vary, up to 5 hours in the same semester, to a maximum of 12 hours.",1 TO 5 hours.,
ACE210,ACE,210,Environmental Economics,"Economic issues surrounding environmental quality, including: costs and benefits of environmental protection; economics of environmental policies (such as those dealing with toxics, water, and air pollution, and municipal solid waste); and economics of international environmental problems (such as ozone depletion and climate change). Same as ECON 210, ENVS 210, NRES 210, and UP 210.",3 hours.,Social & Beh Sci - Soc Sci course.
ACE222,ACE,222,Agricultural Marketing,"Examines factors affecting the size of the market for agricultural products and the scope of marketing activities; functions and services performed; pricing agricultural products, including the nature and causes of price fluctuations; and costs of marketing and efforts to reduce costs and improve the marketing system.",3 hours.,
ACE240,ACE,240,Personal Financial Planning,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",3 hours.,
ACE251,ACE,251,The World Food Economy,"Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. Prerequisite: ACE 100 or ECON 102 or consent of instructor.",3 hours.,"Cultural Studies - Non-West, and Social & Beh Sci - Soc Sci course."
ACE261,ACE,261,Applied Statistical Methods,"Statistical methods and computer applications for agricultural and consumer economics, including descriptive statistics, probability distribution, interval estimation, hypothesis testing, analysis of variance, simple and multiple regression, and non-parametric methods. Credit is not given for ACE 261 if credit for any of ECON 202, CPSC 440, STAT 100, or equivalent has been earned. Prerequisite: MATH 124 or MATH 125.",4 hours.,Quantitative Reasoning I course.
ACE293,ACE,293,Off-Campus Internship,"Supervised, off-campus experience in a field directly pertaining to a subject matter in agricultural and consumer economics. Approved for S/U grading only. May be repeated, up to 4 hours in the same semester, to a maximum of 10 hours. Independent Study courses are limited to 12 hours total applying to a degree in ACES. Prerequisite: Sophomore standing, cumulative GPA of 2. 5 or above at the time the internship is arranged, and consent of instructor.",1 TO 4 hours.,
ACE294,ACE,294,On-Campus Internship,"Supervised, on-campus, learning experience with faculty engaged in research. Approved for S/U grading only. May be repeated up to 4 hours in a semester, to a maximum of 10 hours. Credit is not given for more than a total of 12 hours of Independent Study (IND) courses applying to a degree in ACES. Prerequisite: Sophomore standing, cumulative GPA of 2. 5 or above at the time the internship is arranged, and consent of instructor.",1 TO 4 hours.,
ACE295,ACE,295,Independent Study,"Individual or small group research, special problems, or other studies under the supervision of an appropriate member of the faculty. Approved for both letter and S/U grading. May be repeated in the same or subsequent terms as topics vary. May be repeated up to 4 hours in a semester, but no more than 12 hours of special problems, research, thesis and/or individual studies may be counted toward the degree. Prerequisite: Junior standing, cumulative GPA of 2.5 or above at the time the activity is arranged, and consent of instructor.",1 TO 4 hours.,
ACE306,ACE,306,Food Law,"Explores the legal and political dimensions of food law, policy and trade in the United States and major trading partners. Examines the development of major national and state laws that apply to production, distribution and retail sale of food. Evaluates current issues in food regulation, including: biotechnology, organics, health labeling claims, food safety and products liability litigation. Discusses food regulation in other countries within the context of international treaties such as the World Trade Organization and United Nations.",3 hours.,
ACE321,ACE,321,Principles of Public Policy,"Same as ACCY 321, BADM 303, and PS 321. See PS 321.",3 hours.,
ACE341,ACE,341,Issues&amp;Careers in Applied Econ,Students study contemporary issues and career opportunities associated with various concentrations in the Department of Agricultural and Consumer Economics. An in-depth dialogue with industry professionals helps develop an understanding of the skill sets needed to succeed in each of the different career paths discussed. May not be repeated for credit.,1 OR 2 hours.,
ACE345,ACE,345,Finan Decision Indiv Sm Bus,"Introduction to financial decision-making for small businesses and individuals. Examines financial statement preparation and analysis; capital structure (use of debt and equity); investment analysis and portfolio theory; time value of money; interest rates and term structure; asset markets (pricing theories); evaluation of financial risk and insurance concepts, and an introduction to credit markets and financial capital suppliers. In addition, there is a class project involving a visit to either a lender or a financial planner/advisor, and other experiences to introduce students to services and careers in financial sectors. Prerequisite: ACCY 201 or equivalent, or consent of instructor.",3 hours.,
ACE346,ACE,346,Tax Policy and Finan Planning,"Explores the federal tax system, including income, social security, Medicare, and estate taxes, and state and local tax systems. Students learn basic tax principles, public policy issues embedded in the tax systems, and how tax law influences financial plans and decisions. Helps students make wiser financial decisions through increased understanding of the tax impacts of those decisions, participate knowledgeably in public debates surrounding tax policy, and prepare for careers as financial planners. Prerequisite: Sophomore standing.",3 hours.,
ACE360,ACE,360,Spreadsheet Models &amp; Applic,"Spreadsheet development and modeling skills intended for economics and finance applications. Advanced uses of spreadsheet software, development of user-defined functions, use of Visual Basic and comparable external interface languages, data query designs, and advanced data analyses, summary and presentation skills are stressed. Iintended to serve as a prerequisite for advanced modeling courses in specific disciplinary areas. Prerequisite: ACE 100 or equivalent, ACE 161 or CS 105, and completion of ACE 261 or ECON 203 or equivalent.",2 hours.,
ACE396,ACE,396,Honors Research or Thesis,"Individual research, special problems, thesis, development and/or design work under the direction of the Honors advisor. May be repeated as topic vary, up to 4 hours in the same term to a maximum of 12 hours in separate terms. Credit is not given for more than 12 hours of special problems, research, thesis and/or individual studies may be counted toward the degree. Prerequisite: Junior standing, admission to the ACES Honors Program, and consent of instructor.",1 TO 4 hours.,
ACE398,ACE,398,Seminar,"Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics. Approved for Letter and S/U grading. May be repeated to 3 hours in a semester, up to a maximum of 12 total hours. Credit is not given for more than a total of 12 hours of Independent Study (IND) courses applying to a degree in ACES. Prerequisite: Junior standing and consent of instructor.",1 to 3 hours.,
ACE406,ACE,406,Environmental Law,"Examination of environmental law issues. Topics include common-law pollution control; role of administrative agencies and courts; federal and state power; air and water pollution; regulation of toxic substances; protection of land, soil and other natural resources. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACE 403, or BADM 300, or BADM 301 recommended.",3 TO 4 hours.,
ACE411,ACE,411,Environment and Development,"Relationship between economic development and environmental sustainability through application of cost-benefit analysis and environmental economics. Developing and developed country issues are considered with an emphasis on hands-on applications of project appraisal, social benefit-cost analysis, green accounting, and non-market valuation. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 302 or equivalent.",3 TO 4 hours.,
